,county,median_income,temp,total_population,elev_in_ft
1486,"Marion County, Missouri",40814,71.2,28525,600.5701492537313
1487,"Mercer County, Missouri",40768,69.2,3538,975.4127659574468
1488,"Miller County, Missouri",38094,72.5,24722,756.8891566265061
1489,"Mississippi County, Missouri",28347,72.3,12577,307.6363636363636
1490,"Moniteau County, Missouri",47725,72.3,15473,792.8172043010753
1491,"Monroe County, Missouri",43138,71.5,8666,714.3151125401929
1492,"Montgomery County, Missouri",39830,71.0,11322,713.656862745098
1493,"Morgan County, Missouri",33525,71.9,21006,835.8218390804598
1494,"New Madrid County, Missouri",33630,72.6,16434,287.41293532338307
1495,"Newton County, Missouri",43290,73.7,58648,1100.7389277389275
1496,"Nodaway County, Missouri",35854,69.8,21241,1047.536842105263
1497,"Oregon County, Missouri",29851,72.1,8635,671.6149068322982
1498,"Osage County, Missouri",52693,71.8,13274,702.3927648578812
1499,"Ozark County, Missouri",31399,72.0,8553,855.4602184087363
1500,"Pemiscot County, Missouri",29238,73.1,15661,263.4602409638554
1501,"Perry County, Missouri",51499,70.9,18956,531.4366666666666
1502,"Pettis County, Missouri",39928,72.0,42980,828.7110481586402
1503,"Phelps County, Missouri",41618,71.2,44638,969.4574132492114
1504,"Pike County, Missouri",41750,70.8,17587,635.7667304015297
1505,"Platte County, Missouri",68254,71.7,106718,885.2245762711865
1506,"Polk County, Missouri",41130,72.1,31519,1036.1748768472903
1507,"Pulaski County, Missouri",47931,72.0,53955,949.4354430379748
1508,"Putnam County, Missouri",36346,69.2,4681,966.6744186046512
1509,"Ralls County, Missouri",47345,71.1,10355,647.7026143790849
1510,"Randolph County, Missouri",37832,71.6,24716,807.4557377049181
1511,"Ray County, Missouri",52526,71.0,23158,840.7492625368732
1512,"Reynolds County, Missouri",35648,69.8,6096,839.6543001686341
1513,"Ripley County, Missouri",32444,71.7,10679,463.68688845401175
1514,"Ste. Genevieve County, Missouri",47014,70.9,18479,622.2975609756097
1515,"Saline County, Missouri",40101,71.9,23333,718.6115288220551
1516,"Schuyler County, Missouri",37500,69.5,4032,911.7041420118344
1517,"Scotland County, Missouri",39772,69.6,4716,761.8975409836065
1518,"Scott County, Missouri",39162,72.2,38059,360.2920634920635
1519,"Shannon County, Missouri",32404,71.2,7031,815.8449519230769
1520,"Shelby County, Missouri",39087,71.2,6103,749.631970260223
1521,"Stoddard County, Missouri",38203,72.2,28672,360.1511387163561
1522,"Stone County, Missouri",40510,72.2,31076,1081.227799227799
1523,"Sullivan County, Missouri",40197,69.6,5999,945.2218430034128
1524,"Taney County, Missouri",38357,72.1,56066,913.7874149659864
1525,"Texas County, Missouri",35088,71.3,24487,1195.856418918919
1526,"Vernon County, Missouri",40693,72.9,19707,816.9288256227758
1527,"Warren County, Missouri",51133,71.0,35532,695.7248803827752
1528,"Washington County, Missouri",35305,69.9,23514,868.0060975609756
1529,"Wayne County, Missouri",33750,70.9,10974,510.7395683453237
1530,"Webster County, Missouri",44451,70.8,39085,1410.9027431421446
1531,"Worth County, Missouri",45952,69.5,1973,1043.16091954023
1532,"Wright County, Missouri",29778,71.2,18188,1325.1849148418491
1533,"Beaverhead County, Montana",41512,52.8,9371,6676.314316860465
1534,"Big Horn County, Montana",41622,61.3,13124,3593.253215434084
1535,"Blaine County, Montana",36744,59.9,7044,3064.314701378254
1536,"Broadwater County, Montana",50115,58.4,6774,4450.31990521327
1537,"Carbon County, Montana",49767,58.8,10473,5725.688548504741
1538,"Carter County, Montana",45000,62.4,1415,3437.2515337423315
1539,"Cascade County, Montana",45205,58.3,84414,3992.8230088495575
1540,"Chouteau County, Montana",38521,60.0,5895,3170.92936802974
1541,"Custer County, Montana",48750,62.8,11867,2699.7674927113703
1542,"Daniels County, Montana",49239,59.6,1661,2588.5971394517283
1543,"Dawson County, Montana",52738,62.9,8940,2380.679083094556
1544,"Deer Lodge County, Montana",39399,52.5,9421,5961.030911901082
1545,"Fallon County, Montana",53266,62.3,3049,2982.6294416243654
1546,"Fergus County, Montana",40881,60.1,11446,3900.499164345404
1547,"Flathead County, Montana",47851,52.7,104357,4063.139303482587
1548,"Gallatin County, Montana",55553,54.9,118960,5325.970506592644
1549,"Garfield County, Montana",39732,62.4,1173,2696.227097767513
1550,"Glacier County, Montana",29640,54.5,13778,5068.823949955317
1551,"Golden Valley County, Montana",40938,59.8,823,3987.0599078341015
1552,"Granite County, Montana",48512,53.0,3309,5636.89629005059
1553,"Hill County, Montana",44633,59.4,16309,2935.986471251409
1554,"Jefferson County, Montana",60842,56.2,12085,5742.672084805654
1555,"Judith Basin County, Montana",44602,56.9,2023,4760.2529296875
1556,"Lake County, Montana",38732,56.6,31134,3372.945593869732
1557,"Lewis and Clark County, Montana",56197,55.4,70973,4757.803565422132
1558,"Liberty County, Montana",47768,58.3,1959,3519.092105263158
1559,"Lincoln County, Montana",35275,53.2,19677,3405.3458498023715
1560,"McCone County, Montana",40750,62.6,1729,2404.718352059925
1561,"Madison County, Montana",46250,54.7,8623,6337.380915736821
1562,"Meagher County, Montana",41641,55.2,1927,5707.621597096188
1563,"Mineral County, Montana",36031,54.4,4535,3986.189781021898
1564,"Missoula County, Montana",46164,54.2,117922,3942.2727654217374
1565,"Musselshell County, Montana",39517,62.0,4730,3542.804521276596
1566,"Park County, Montana",43932,54.1,17191,6390.082318840579
1567,"Petroleum County, Montana",43750,63.3,496,2926.029197080292
1568,"Phillips County, Montana",36071,61.1,4217,2649.297900262467
1569,"Pondera County, Montana",42264,57.2,5898,4027.3542039355993
1570,"Powder River County, Montana",46346,62.8,1694,3411.6861868573983
1571,"Powell County, Montana",40000,53.9,6946,5242.254482758621
1572,"Prairie County, Montana",42383,62.8,1088,2586.935802469136
1573,"Ravalli County, Montana",39480,53.8,44174,4753.661719233148
1574,"Richland County, Montana",65084,63.1,11491,2102.044891640867
1575,"Roosevelt County, Montana",32974,62.0,10794,2128.1932668329177
1576,"Rosebud County, Montana",51159,62.1,8329,3091.8171949630914
1577,"Sanders County, Montana",32257,55.2,12400,3396.864748201439
1578,"Sheridan County, Montana",50664,61.2,3539,2142.7460087082727
1579,"Silver Bow County, Montana",37749,53.8,35133,5950.001137656428
1580,"Stillwater County, Montana",58259,58.6,8963,5007.928311057108
1581,"Sweet Grass County, Montana",50588,57.6,3678,5287.708463949844
1582,"Teton County, Montana",46360,56.5,6226,4418.9767156862745
1583,"Toole County, Montana",44804,58.2,4971,3588.801418439716
1584,"Treasure County, Montana",41103,61.6,762,2970.654462242563
1585,"Valley County, Montana",49141,60.6,7578,2429.780194619348
1586,"Wheatland County, Montana",32723,58.1,2069,4700.750636132316
1587,"Wibaux County, Montana",38553,62.8,937,2680.481690140845
1588,"Yellowstone County, Montana",52802,62.2,164731,3344.9685534591194
1589,"Adams County, Nebraska",50635,69.0,31205,1932.9973045822103
1590,"Antelope County, Nebraska",45609,66.2,6295,1832.935606060606
1591,"Arthur County, Nebraska",39375,66.4,434,3632.532338308458
1592,"Banner County, Nebraska",48897,64.8,674,4449.01652892562
1593,"Blaine County, Nebraska",48875,66.7,431,2599.8026315789475
1594,"Boone County, Nebraska",50306,66.8,5379,1835.416309012876
1595,"Box Butte County, Nebraska",51691,65.4,10842,4110.017621145375
1596,"Boyd County, Nebraska",40224,67.4,1810,1708.0189573459716
1597,"Brown County, Nebraska",36078,66.6,2903,2493.7063492063494
1598,"Buffalo County, Nebraska",53624,67.9,50084,2156.598566308244
1599,"Burt County, Nebraska",47429,67.8,6722,1196.5471698113208
1600,"Butler County, Nebraska",51027,68.5,8369,1545.2329749103942
1601,"Cass County, Nebraska",65619,69.5,26598,1132.865909090909
1602,"Cedar County, Nebraska",52250,66.0,8380,1450.4865900383145
1603,"Chase County, Nebraska",52422,69.6,3893,3220.3793103448274
1604,"Cherry County, Nebraska",48750,65.8,5455,3120.710676446618
1605,"Cheyenne County, Nebraska",53814,65.8,9468,4196.547413793103
1606,"Clay County, Nebraska",51470,69.6,6104,1763.0084388185653
1607,"Colfax County, Nebraska",51367,67.9,10582,1462.846511627907
1608,"Cuming County, Nebraska",50013,67.3,9013,1398.0088888888888
1609,"Custer County, Nebraska",46468,67.1,10545,2523.907575757576
1610,"Dakota County, Nebraska",49786,66.8,21582,1159.9162011173185
1611,"Dawes County, Nebraska",41038,66.8,8199,3657.743718592965
1612,"Dawson County, Nebraska",48329,68.7,24111,2514.6138059701493
1613,"Deuel County, Nebraska",50962,67.9,1838,3597.336842105264
1614,"Dixon County, Nebraska",51223,66.3,5606,1347.9173913043478
1615,"Dodge County, Nebraska",49068,68.3,37167,1254.037296037296
1616,"Douglas County, Nebraska",54659,69.5,584526,1133.483556638246
1617,"Dundy County, Nebraska",42500,70.4,1654,3121.916083916084
1618,"Fillmore County, Nebraska",52316,69.7,5551,1629.7961165048544
1619,"Franklin County, Nebraska",45905,69.0,2889,1966.1216931216927
1620,"Frontier County, Nebraska",49634,69.8,2519,2614.484679665738
1621,"Furnas County, Nebraska",39934,70.9,4636,2337.757692307692
1622,"Gage County, Nebraska",50010,69.7,21704,1335.6158273381295
1623,"Garden County, Nebraska",45845,66.2,1874,3709.618686868687
1624,"Garfield County, Nebraska",43179,65.8,1813,2230.208
1625,"Gosper County, Nebraska",54375,69.7,1893,2440.07729468599
1626,"Grant County, Nebraska",44750,64.9,611,3725.0338983050847
1627,"Greeley County, Nebraska",42904,66.5,2188,1994.15625
1628,"Hall County, Nebraska",49252,68.4,62895,1898.621546961326
1629,"Hamilton County, Nebraska",59311,69.0,9429,1788.592105263158
1630,"Harlan County, Nebraska",46766,69.9,3073,2077.977973568282
1631,"Hayes County, Nebraska",44500,69.5,856,2948.934210526316
1632,"Hitchcock County, Nebraska",39231,70.6,2616,2763.009756097561
1633,"Holt County, Nebraska",46728,66.3,10127,1960.1967545638945
1634,"Hooker County, Nebraska",37317,65.2,711,3305.230769230769
1635,"Howard County, Nebraska",50030,67.8,6475,1900.30223880597
1636,"Jefferson County, Nebraska",43008,70.0,7240,1399.873156342183
1637,"Johnson County, Nebraska",45429,69.6,5290,1174.9298245614036
1638,"Kearney County, Nebraska",51934,68.1,6688,2146.610169491525
1639,"Keith County, Nebraska",41781,68.5,8335,3256.3308550185875
1640,"Keya Paha County, Nebraska",38625,67.1,769,2166.190476190476
1641,"Kimball County, Nebraska",40242,64.0,3434,4762.109375
1642,"Knox County, Nebraska",45411,66.6,8391,1501.6166219839142
1643,"Lancaster County, Nebraska",51830,69.4,322608,1244.138252148997
1644,"Lincoln County, Nebraska",50194,68.4,34676,2852.54
1645,"Logan County, Nebraska",48281,67.0,716,3056.8888888888887
1646,"Loup County, Nebraska",55417,66.2,607,2328.913461538461
1647,"McPherson County, Nebraska",54306,66.6,399,3296.761658031088
1648,"Madison County, Nebraska",50218,67.0,35585,1627.7047146401983
1649,"Merrick County, Nebraska",51012,68.6,7668,1696.6020942408377
1650,"Morrill County, Nebraska",45910,66.2,4555,3848.233009708738
1651,"Nance County, Nebraska",42500,67.9,3380,1700.964705882353
1652,"Nemaha County, Nebraska",49656,69.6,7074,1031.8844621513945
1653,"Nuckolls County, Nebraska",40488,69.8,4095,1692.38622754491
1654,"Otoe County, Nebraska",50275,69.4,15912,1095.8117229129662
1655,"Pawnee County, Nebraska",41161,69.9,2544,1265.2301886792452
1656,"Perkins County, Nebraska",55893,69.0,2858,3373.5
1657,"Phelps County, Nebraska",50404,68.7,8968,2333.580808080808
1658,"Pierce County, Nebraska",54482,66.2,7317,1660.2684210526315
1659,"Platte County, Nebraska",56318,67.7,34296,1549.0404312668463
1660,"Polk County, Nebraska",57312,68.7,5214,1652.0652173913045
1661,"Red Willow County, Nebraska",42931,71.0,10702,2518.8476821192053
1662,"Richardson County, Nebraska",42750,70.5,7871,1003.768472906404
1663,"Rock County, Nebraska",48456,66.2,1262,2277.1675675675674
1664,"Saline County, Nebraska",51738,69.4,14292,1436.4040697674418
1665,"Sarpy County, Nebraska",70543,69.6,190604,1089.6446124763704
1666,"Saunders County, Nebraska",60854,69.1,22278,1254.3916849015318
1667,"Scotts Bluff County, Nebraska",45992,66.0,36084,4020.06463878327
1668,"Seward County, Nebraska",59662,69.1,17609,1480.7985257985258
1669,"Sheridan County, Nebraska",41985,65.5,5127,3776.754578754578
1670,"Sherman County, Nebraska",46366,67.1,2959,2126.4341463414635
1671,"Sioux County, Nebraska",41215,64.6,1135,4147.508474576272
1672,"Stanton County, Nebraska",53416,67.3,5842,1539.1764705882354
1673,"Thayer County, Nebraska",45741,70.2,5034,1545.1704545454545
1674,"Thomas County, Nebraska",51000,66.4,669,2889.483870967742
1675,"Thurston County, Nebraska",41266,66.9,6773,1271.8108108108108
1676,"Valley County, Nebraska",44612,66.3,4059,2124.9166666666665
1677,"Washington County, Nebraska",65370,69.0,20865,1138.3421926910298
1678,"Wayne County, Nebraska",54159,66.6,9697,1540.3577981651376
1679,"Webster County, Nebraska",40256,69.5,3395,1818.0888030888032
1680,"Wheeler County, Nebraska",46394,66.0,774,2061.853333333333
1681,"York County, Nebraska",51802,69.2,14125,1637.1474358974358
1682,"Churchill County, Nevada",47415,65.5,25516,4765.243166823751
1683,"Clark County, Nevada",51575,79.9,2265461,2664.4173553719006
1684,"Douglas County, Nevada",58535,63.7,49488,5770.533730158731
1685,"Elko County, Nevada",71799,59.7,53702,6229.422888142599
1686,"Esmeralda County, Nevada",39271,68.7,729,6050.74531835206
1687,"Eureka County, Nevada",60250,61.6,1855,6404.213774597495
1688,"Humboldt County, Nevada",65212,63.1,17285,5242.209735888141
1689,"Lander County, Nevada",78190,63.1,5734,6261.746945898778
1690,"Lincoln County, Nevada",44866,69.9,4499,5790.088159917991
1691,"Lyon County, Nevada",47255,65.6,59235,5009.180661577609
1692,"Mineral County, Nevada",38923,66.0,4554,5998.333683105981
1693,"Nye County, Nevada",41712,67.4,51591,6061.893212951432
1694,"Pershing County, Nevada",45230,64.6,6650,5164.30868902439
1695,"Storey County, Nevada",64832,66.0,4104,5771.925619834711
1696,"Washoe County, Nevada",52870,63.3,486492,5251.522357723577
1697,"White Pine County, Nevada",57122,61.4,9080,7064.444204152249
1698,"Belknap County, New Hampshire",62159,61.9,63705,664.6887052341598
1699,"Carroll County, New Hampshire",53306,60.1,50107,912.8958923512748
1700,"Cheshire County, New Hampshire",57782,62.0,76458,955.6833910034602
1701,"Coos County, New Hampshire",42312,56.9,31268,1832.2882315921963
1702,"Grafton County, New Hampshire",55762,58.8,91118,1308.554669169404
1703,"Hillsborough County, New Hampshire",71244,63.6,422937,509.1833987661245
1704,"Merrimack County, New Hampshire",65983,62.3,153808,634.1287726358149
1705,"Rockingham County, New Hampshire",81198,64.9,314176,178.5180983252296
1706,"Strafford County, New Hampshire",60711,63.5,130889,286.54899497487435
1707,"Sullivan County, New Hampshire",56032,60.0,43063,1037.49423815621
1708,"Atlantic County, New Jersey",54461,70.0,274534,29.9768177028451
1709,"Bergen County, New Jersey",85806,68.9,955732,141.2752652149637
1710,"Burlington County, New Jersey",78621,69.7,461860,54.62115232833465
1711,"Camden County, New Jersey",62185,69.9,523485,67.65161923454367
1712,"Cape May County, New Jersey",57637,70.9,95263,6.74775928297055
1713,"Cumberland County, New Jersey",49984,70.4,154152,40.077138849929874
1714,"Essex County, New Jersey",53976,69.5,863728,193.74266365688487
1715,"Gloucester County, New Jersey",76727,70.3,302294,73.40587449933244
1716,"Hudson County, New Jersey",59741,71.0,724854,69.73267326732673
1717,"Hunterdon County, New Jersey",105444,66.6,128947,346.77621283255087
1718,"Mercer County, New Jersey",72804,68.6,387340,121.69476082004556
1719,"Middlesex County, New Jersey",79593,69.6,863162,74.2927536231884
1720,"Monmouth County, New Jersey",85242,69.8,643615,63.40502354788069
1721,"Morris County, New Jersey",100214,66.4,509285,550.7426160337553
1722,"Ocean County, New Jersey",61994,69.7,637229,38.3954802259887
1723,"Passaic County, New Jersey",59739,66.9,524118,322.64042933810373
1724,"Salem County, New Jersey",61831,70.5,64837,38.573055028463
1725,"Somerset County, New Jersey",100667,68.1,345361,157.0884433962264
1726,"Sussex County, New Jersey",86565,64.7,144221,758.7989487516426
1727,"Union County, New Jersey",69594,69.9,575345,96.90233977619532
1728,"Warren County, New Jersey",70471,65.4,109632,497.5518453427065
1729,"Bernalillo County, New Mexico",47725,68.8,676444,5716.288178376104
1730,"Catron County, New Mexico",42973,61.5,3579,7171.3944702983845
1731,"Chaves County, New Mexico",40630,73.6,65157,4068.1537305958936
1732,"Cibola County, New Mexico",34565,63.4,27172,6966.2139272271015
1733,"Colfax County, New Mexico",32380,62.4,12387,7762.353919239905
1734,"Curry County, New Mexico",41084,71.6,48430,4352.1778425655975
1735,"Eddy County, New Mexico",56618,75.1,62314,3778.743512371756
1736,"Grant County, New Mexico",38311,68.9,28185,5871.649226234341
1737,"Guadalupe County, New Mexico",30772,70.9,4452,5096.549915397631
1738,"Harding County, New Mexico",33393,70.1,657,4859.94729136164
1739,"Hidalgo County, New Mexico",34444,71.9,4178,4791.016444792483
1740,"Lea County, New Mexico",57533,74.6,74455,3889.2820668693007
1741,"Lincoln County, New Mexico",40708,68.1,20269,6477.017865538317
1742,"Los Alamos County, New Mexico",101934,62.8,19419,7107.408866995074
1743,"Luna County, New Mexico",27476,73.9,25427,4454.410267471959
1744,"McKinley County, New Mexico",28772,64.1,72902,6945.087285570131
1745,"Mora County, New Mexico",23822,63.2,4189,7211.669316375199
1746,"Otero County, New Mexico",39775,70.0,67839,5950.225636101776
1747,"Quay County, New Mexico",29113,73.4,8746,4289.254313099042
1748,"Rio Arriba County, New Mexico",36098,61.6,40363,7492.007987220447
1749,"Roosevelt County, New Mexico",35546,72.0,19191,4152.326691380908
1750,"Sandoval County, New Mexico",58982,65.5,148834,6614.497273718648
1751,"San Juan County, New Mexico",48671,66.8,121661,5838.773673606447
1752,"San Miguel County, New Mexico",29237,68.5,27201,6102.905464480874
1753,"Santa Fe County, New Mexico",54315,65.0,154823,6764.309491059147
1754,"Sierra County, New Mexico",29356,70.5,11576,5624.1186035389765
1755,"Socorro County, New Mexico",34037,68.2,16595,6153.9856902356905
1756,"Taos County, New Mexico",36582,58.8,34489,8387.902142857143
1757,"Torrance County, New Mexico",32083,65.6,15045,6622.401614530777
1758,"Union County, New Mexico",36070,67.9,4079,5308.095179233622
1759,"Valencia County, New Mexico",41703,70.1,76205,5293.152293577981
1760,"Albany County, New York",59887,63.7,314848,379.9913867355728
1761,"Allegany County, New York",42776,61.6,46456,1636.8784403669724
1762,"Bronx County, New York",34299,70.7,1472654,69.70595099183197
1763,"Broome County, New York",46261,61.8,198683,1045.9964819700967
1764,"Cattaraugus County, New York",42601,61.6,77042,1512.8003384094754
1765,"Cayuga County, New York",52082,63.1,76248,731.7813141683778
1766,"Chautauqua County, New York",42993,63.5,127657,1174.196333078686
1767,"Chemung County, New York",50320,62.7,84148,1028.731319554849
1768,"Chenango County, New York",45668,61.0,47220,1252.4121365360304
1769,"Clinton County, New York",49930,60.0,79843,675.1690929451288
1770,"Columbia County, New York",59105,64.4,61570,432.24186704384726
1771,"Cortland County, New York",49514,60.8,46809,1278.444230769231
1772,"Delaware County, New York",43720,60.4,44308,1548.4057613168725
1773,"Dutchess County, New York",71904,65.3,295911,351.9876179245283
1774,"Erie County, New York",51247,64.2,954236,728.0481304693715
1775,"Essex County, New York",52758,57.5,37381,1554.8135322322855
1776,"Franklin County, New York",47923,57.7,47555,1363.7982243744957
1777,"Fulton County, New York",46969,60.9,53324,1066.128333333333
1778,"Genesee County, New York",50880,63.7,58388,843.908
1779,"Greene County, New York",50278,62.0,47931,1022.1240208877284
1780,"Hamilton County, New York",48243,57.1,5107,1953.0763665594848
1781,"Herkimer County, New York",46229,59.0,60139,1276.8470764617691
1782,"Jefferson County, New York",49505,61.6,116721,437.6670673076923
1783,"Kings County, New York",48201,71.3,2736074,41.61962317810167
1784,"Lewis County, New York",49819,59.1,26582,1156.237359550562
1785,"Livingston County, New York",51734,63.5,61834,895.3307493540052
1786,"Madison County, New York",54145,61.8,68016,1037.5498652291103
1787,"Monroe County, New York",52553,64.3,759443,480.06443071491617
1788,"Montgomery County, New York",43764,62.9,49532,552.8360655737705
1789,"Nassau County, New York",99465,70.0,1395774,66.63052345343304
1790,"New York County, New York",72871,71.0,1694251,49.96279710644161
1791,"Niagara County, New York",49449,65.2,212666,496.9781576448243
1792,"Oneida County, New York",48246,61.6,232125,742.4997154240182
1793,"Onondaga County, New York",55092,63.4,476516,634.4972283813747
1794,"Ontario County, New York",57416,63.3,112458,793.8957286432161
1795,"Orange County, New York",70848,65.2,401310,507.2536610878661
1796,"Orleans County, New York",46359,64.6,40343,479.90513833992094
1797,"Oswego County, New York",47860,62.9,117525,471.1913303437967
1798,"Otsego County, New York",48588,60.3,58524,1386.431704885344
1799,"Putnam County, New York",96148,66.3,97668,566.0493827160494
1800,"Queens County, New York",57720,70.7,2405464,56.04824165915239
1801,"Rensselaer County, New York",60709,63.7,161130,492.3355079217148
1802,"Richmond County, New York",73197,71.2,495747,72.74180327868852
1803,"Rockland County, New York",84855,67.6,338329,341.6666666666667
1804,"Saratoga County, New York",71496,62.6,235509,507.9135021097047
1805,"Schenectady County, New York",58114,63.3,158061,407.5864779874214
1806,"Schoharie County, New York",51195,61.0,29714,1299.6750418760469
1807,"Schuyler County, New York",47680,62.5,17898,1050.3848396501458
1808,"Seneca County, New York",49292,63.8,33814,577.2305986696231
1809,"Steuben County, New York",47280,61.8,93584,1374.0249810749433
1810,"Suffolk County, New York",88663,68.6,1525920,49.88733823902563
1811,"Sullivan County, New York",50710,62.0,78624,1289.3292682926829
1812,"Tioga County, New York",57514,62.1,48455,999.1071428571428
1813,"Tompkins County, New York",52624,62.2,105740,946.1255813953488
1814,"Ulster County, New York",58918,63.2,181851,648.7365196078431
1815,"Warren County, New York",56798,59.6,65737,988.183349851338
1816,"Washington County, New York",51143,61.8,61302,495.1929611650485
1817,"Wayne County, New York",50798,64.0,91283,427.5955188679245
1818,"Westchester County, New York",83958,68.0,1004457,224.92896529354525
1819,"Wyoming County, New York",52564,62.2,40531,1351.8044515103338
1820,"Yates County, New York",49510,63.1,24774,934.5792207792208
1821,"Alamance County, North Carolina",41814,70.7,171415,609.363196125908
1822,"Alexander County, North Carolina",39365,70.0,36444,1200.737089201878
1823,"Alleghany County, North Carolina",36968,63.0,10888,2831.584905660377
1824,"Anson County, North Carolina",33228,72.9,22055,355.19034090909093
1825,"Ashe County, North Carolina",36267,61.6,26577,3129.529411764706
1826,"Avery County, North Carolina",37777,60.6,17806,3571.575389948007
1827,"Beaufort County, North Carolina",40391,73.6,44652,11.717567567567569
1828,"Bertie County, North Carolina",30027,72.6,17934,33.88145896656535
1829,"Bladen County, North Carolina",30096,74.2,29606,82.66027397260274
1830,"Brunswick County, North Carolina",46859,74.8,136693,24.384615384615383
1831,"Buncombe County, North Carolina",45167,64.6,269452,2613.178311499272
1832,"Burke County, North Carolina",39360,68.7,87570,1488.6501766784452
1833,"Cabarrus County, North Carolina",54720,70.4,225804,659.5081081081081
1834,"Caldwell County, North Carolina",35763,68.5,80652,1511.0135542168675
1835,"Camden County, North Carolina",58780,72.8,10355,6.4
1836,"Carteret County, North Carolina",48457,74.7,67686,3.856038647342995
1837,"Caswell County, North Carolina",37869,70.4,22736,593.5175438596491
1838,"Catawba County, North Carolina",44376,70.5,160610,985.251781472684
1839,"Chatham County, North Carolina",56642,71.7,76285,436.0925925925926
1840,"Cherokee County, North Carolina",34662,66.2,28774,2097.6115023474176
1841,"Chowan County, North Carolina",38759,73.0,13708,15.497142857142856
1842,"Clay County, North Carolina",37076,64.4,11089,2622.826171875
1843,"Cleveland County, North Carolina",39453,70.2,99519,890.0615384615385
1844,"Columbus County, North Carolina",34949,74.5,50623,67.8421686746988
1845,"Craven County, North Carolina",47985,73.5,100720,16.851138353765325
1846,"Cumberland County, North Carolina",44171,73.8,334728,164.09116022099448
1847,"Currituck County, North Carolina",60600,73.3,28100,3.4381188118811883
1848,"Dare County, North Carolina",54496,74.8,36915,3.243478260869565
1849,"Davidson County, North Carolina",43363,70.3,168930,760.1085141903172
1850,"Davie County, North Carolina",51527,69.8,42712,771.6175438596491
1851,"Duplin County, North Carolina",35035,72.9,48715,96.66338582677166
1852,"Durham County, North Carolina",52503,71.2,324833,373.9533954727031
1853,"Edgecombe County, North Carolina",32659,72.6,48900,80.22443181818181
1854,"Forsyth County, North Carolina",45471,69.7,382590,861.5502450980392
1855,"Franklin County, North Carolina",42685,71.7,68573,312.40967741935486
1856,"Gaston County, North Carolina",42429,71.0,227943,778.8741007194244
1857,"Gates County, North Carolina",49258,72.1,10478,30.123076923076923
1858,"Graham County, North Carolina",34805,64.1,8030,2556.956953642384
1859,"Granville County, North Carolina",50225,71.1,60992,431.0217391304348
1860,"Greene County, North Carolina",35777,73.0,20451,81.36683417085428
1861,"Guilford County, North Carolina",45651,70.3,541299,805.4386160714286
1862,"Halifax County, North Carolina",32245,72.0,48622,157.44878048780487
1863,"Harnett County, North Carolina",46353,72.9,133568,235.2703862660944
1864,"Haywood County, North Carolina",42257,61.1,62089,3456.990500863558
1865,"Henderson County, North Carolina",46448,65.4,116281,2395.6520811099253
1866,"Hertford County, North Carolina",33008,72.0,21552,36.49664429530201
1867,"Hoke County, North Carolina",41542,73.5,52082,258.8942307692308
1868,"Hyde County, North Carolina",42897,74.5,4589,0.5899122807017544
1869,"Iredell County, North Carolina",52306,70.2,186693,899.6817391304348
1870,"Jackson County, North Carolina",38015,61.9,43109,3302.643907563025
1871,"Johnston County, North Carolina",50512,72.6,215999,202.64
1872,"Jones County, North Carolina",34005,73.1,9172,33.0958904109589
1873,"Lee County, North Carolina",45608,72.3,63285,343.2606837606838
1874,"Lenoir County, North Carolina",34717,73.0,55122,69.8372591006424
1875,"Lincoln County, North Carolina",49215,70.4,86810,866.6507462686567
1876,"McDowell County, North Carolina",35965,67.2,44578,1888.576859504132
1877,"Macon County, North Carolina",39133,62.9,37014,3092.984238178634
1878,"Madison County, North Carolina",37904,65.5,21193,2584.1954498448813
1879,"Martin County, North Carolina",35080,73.0,22031,50.52036199095023
1880,"Mecklenburg County, North Carolina",56854,71.2,1115482,707.6639765223771
1881,"Mitchell County, North Carolina",37391,62.5,14903,3166.5595667870034
1882,"Montgomery County, North Carolina",32500,71.9,25751,510.6043956043956
1883,"Moore County, North Carolina",50998,72.5,99727,422.9254658385093
1884,"Nash County, North Carolina",42713,72.0,94970,189.2642967542504
1885,"New Hanover County, North Carolina",50088,75.0,225702,26.663063063063063
1886,"Northampton County, North Carolina",30429,71.9,17471,103.0082304526749
1887,"Onslow County, North Carolina",46335,73.4,204576,26.4992700729927
1888,"Orange County, North Carolina",59290,70.5,148696,499.0935251798561
1889,"Pamlico County, North Carolina",43444,74.1,12276,2.777996070726916
1890,"Pasquotank County, North Carolina",45378,73.0,40568,6.956375838926174
1891,"Pender County, North Carolina",44828,73.9,60203,28.94736842105263
1892,"Perquimans County, North Carolina",44329,72.9,13005,9.129943502824858
1893,"Person County, North Carolina",42105,70.2,39097,575.7885196374623
1894,"Pitt County, North Carolina",41119,73.1,170243,50.51201923076923
1895,"Polk County, North Carolina",46528,69.8,19328,1332.0607287449393
1896,"Randolph County, North Carolina",41947,71.3,144171,670.7447154471545
1897,"Richmond County, North Carolina",32687,73.3,42946,325.2324455205811
1898,"Robeson County, North Carolina",30608,74.4,116530,139.0430220356768
1899,"Rockingham County, North Carolina",38126,70.4,91096,716.5526315789474
1900,"Rowan County, North Carolina",43069,70.0,146875,753.7323943661971
1901,"Rutherford County, North Carolina",35630,69.7,64444,1145.9135135135134
1902,"Sampson County, North Carolina",35490,73.1,59036,131.65014577259475
1903,"Scotland County, North Carolina",30958,73.8,34174,235.83544303797467
